iterations;min;mean;max
1;0.039588212966918945;0.0409868597984314;0.04527759552001953
11;0.39758825302124023;0.40607806444168093;0.42300868034362793
21;0.7433364391326904;0.7658085227012634;0.812220573425293
31;1.0743639469146729;1.1067844867706298;1.1240065097808838
41;1.4064507484436035;1.421969437599182;1.4373619556427002
51;1.729386568069458;1.7637758374214172;1.810776710510254
61;2.067079544067383;2.089399540424347;2.116541862487793
71;2.389556646347046;2.46165452003479;2.5219779014587402
81;2.796922206878662;2.828387701511383;2.8521087169647217
91;3.1363916397094727;3.2080795884132387;3.3061273097991943
101;3.3869903087615967;3.4585808157920837;3.5412275791168213
111;3.7043521404266357;3.7699249029159545;3.7977750301361084
121;4.031818628311157;4.120248782634735;4.178053617477417
131;4.365777015686035;4.42921679019928;4.47648549079895
141;4.701131105422974;4.752716422080994;4.782313108444214
151;5.011297702789307;5.133862090110779;5.230908632278442
161;5.394949674606323;5.578009784221649;5.9910829067230225
171;5.831278085708618;5.880256652832031;5.941564321517944
181;6.014408111572266;6.220991945266723;6.6900622844696045
191;6.26602029800415;6.332634830474854;6.463320732116699
201;6.566666841506958;6.723796391487122;7.090758323669434
211;6.806068181991577;7.073799240589142;7.258196830749512
221;7.2338480949401855;7.577228081226349;7.891390800476074
231;7.475494623184204;7.720049738883972;7.807410001754761
241;7.882986068725586;8.095251762866974;8.381587982177734
251;8.132977962493896;8.385576236248017;8.685535907745361
261;8.39503788948059;8.620416438579559;9.09197735786438
271;8.826420307159424;9.162675046920777;9.90050196647644
281;9.345139503479004;9.661651754379273;10.333930492401123
291;9.741405725479126;10.164820659160615;10.971243381500244
301;9.628256797790527;9.844514453411103;10.058834791183472
